some_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,dist
2285,3,3,5,7,3,5,10,12,10,7,2,12,9,10,9,6,11,16,13,16,12,19,16,23,18,20,19,27,18,17,23,22,26,21,17,21,22,24,22,29,22,24,31,27,23,33,26,30,28,40,45,39,41,46,34,47,33,35,42,42,33,45,41,52,41,46,32,27,40,41,42,34,35,39,49,35,37,46,52,48,36,41,50,44,38,57,35,42,58,35,35,39,45,59,40,44,60,42,49,43,20,0
2286,3,6,5,5,7,6,8,8,8,4,7,5,7,7,8,8,10,15,10,11,13,15,11,10,14,10,17,14,12,15,17,20,20,15,15,17,18,13,27,23,14,14,30,25,20,17,24,19,25,17,21,23,25,35,30,35,27,37,27,29,32,37,31,40,42,45,31,51,35,36,36,50,47,52,28,34,42,46,46,49,55,59,48,52,55,61,53,63,45,62,59,66,64,55,67,63,65,66,79,67,28,0
2287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,3,0,4,0,2,2,2,0,3,8,4,4,2,5,9,7,7,8,10,13,15,17,13,7,15,22,16,20,26,20,22,36,26,30,32,16,31,22,40,34,35,27,38,29,30,37,52,33,48,52,49,56,41,35,52,49,49,65,56,60,65,73,58,66,66,65,69,72,80,70,75,73,80,72,65,72,76,66,80,87,81,39,0
2288,0,0,4,2,8,5,4,9,7,5,10,8,5,4,10,9,9,15,14,13,20,10,14,16,14,19,19,18,24,16,28,20,22,23,21,29,23,35,20,34,33,26,29,30,34,34,29,30,27,33,35,25,24,35,30,23,42,40,40,35,26,46,42,39,48,37,40,34,41,38,41,37,40,47,51,33,35,53,38,47,45,44,50,49,46,47,48,68,35,37,46,54,45,44,40,53,52,53,52,58,21,1
2289,5,9,9,6,12,12,9,17,15,11,15,13,17,18,18,20,26,13,14,22,22,20,13,22,14,20,23,27,23,37,29,16,28,25,28,31,20,20,26,33,22,29,23,26,35,33,23,32,27,29,29,27,30,26,37,29,38,39,46,45,32,37,30,31,35,37,45,42,35,35,42,41,25,40,39,39,38,38,32,33,42,35,48,40,35,40,36,37,41,32,40,43,44,40,47,56,54,46,64,45,26,0
2290,3,7,8,6,3,2,7,6,7,12,9,7,4,7,11,11,9,10,14,6,5,20,15,7,17,14,15,19,14,14,12,18,20,16,13,14,9,19,20,21,20,24,24,29,28,29,26,30,15,19,28,27,30,42,25,33,28,38,29,28,36,34,39,24,41,50,31,36,49,42,48,38,42,48,31,44,39,56,47,51,44,67,50,64,44,57,52,58,63,57,60,49,55,48,60,44,67,67,69,65,31,0
2291,2,7,8,6,3,11,10,8,11,10,8,15,13,8,6,9,9,13,12,13,8,20,10,14,10,14,14,18,12,14,15,26,16,21,17,18,17,17,23,17,25,28,17,18,30,36,30,31,32,18,21,26,31,34,34,27,26,31,25,26,26,29,34,39,41,46,53,31,45,30,40,42,48,42,44,46,43,50,57,45,62,42,46,51,56,57,44,46,55,51,46,55,57,63,69,67,63,65,37,62,26,0
2292,11,15,22,16,15,19,19,19,16,22,22,21,31,20,38,17,22,22,13,22,23,15,26,19,21,21,21,19,29,25,34,27,29,25,30,27,29,32,27,27,27,27,32,34,27,29,28,24,21,30,29,23,36,39,31,32,37,40,27,30,35,25,37,38,29,37,28,36,33,27,28,39,43,48,42,29,34,34,38,26,47,33,33,27,35,38,33,40,34,34,44,33,40,51,43,43,37,55,44,42,17,0
2293,2,0,3,4,7,4,9,7,13,9,6,6,13,6,7,5,11,13,14,16,15,14,15,16,17,22,12,22,23,22,27,19,24,24,27,23,25,24,31,22,21,26,28,36,22,38,27,31,46,47,39,35,31,36,33,45,33,32,46,37,39,37,33,37,27,32,38,49,54,47,37,46,36,40,52,51,47,50,49,41,37,26,39,44,36,55,48,39,46,48,40,44,40,49,47,47,51,52,44,33,25,0
2294,0,0,1,0,0,0,1,0,4,0,0,2,2,1,3,5,8,2,5,8,12,8,8,6,10,7,13,15,22,12,15,17,19,11,18,20,15,16,14,25,19,26,27,22,19,32,30,26,33,27,35,24,27,37,28,38,29,37,46,44,33,41,39,50,45,44,43,57,56,50,46,43,47,49,46,46,60,49,51,34,54,52,47,42,59,51,58,63,48,53,62,60,46,57,56,55,55,64,55,74,29,0
2295,0,0,0,0,0,0,0,2,0,0,2,3,2,4,3,4,4,5,1,2,9,8,9,5,10,8,12,15,4,12,16,14,17,16,21,28,15,23,19,14,14,23,22,26,17,37,26,31,29,34,36,38,30,36,41,34,35,32,26,44,47,51,39,40,43,41,51,43,40,54,40,48,41,63,51,44,58,52,59,48,43,51,58,51,52,55,53,43,57,51,51,45,61,51,61,76,58,62,53,52,45,0
2296,1,2,5,1,2,2,3,2,3,2,7,2,5,3,3,3,7,4,6,3,6,6,10,5,6,13,9,12,4,6,12,6,4,5,4,12,15,8,19,6,12,11,21,12,12,15,14,22,23,24,22,19,26,19,30,23,31,19,21,38,26,37,38,40,41,45,41,38,42,48,38,51,42,46,46,50,54,49,40,70,60,61,54,60,52,63,53,64,64,74,68,87,58,74,92,100,81,75,78,110,42,0
2297,0,0,0,0,0,0,1,1,1,1,0,5,0,2,0,2,3,7,3,5,8,5,6,3,7,11,10,10,13,9,9,11,20,12,12,8,17,17,19,21,23,11,22,22,22,21,19,24,40,38,34,28,31,30,26,41,32,31,46,43,31,34,37,41,40,38,32,45,44,64,53,48,44,47,48,40,53,43,64,58,65,53,63,55,55,57,64,50,53,57,75,66,71,59,59,62,57,68,64,75,25,0
2298,3,13,6,9,11,7,7,10,5,5,12,14,14,20,10,12,14,25,12,19,15,15,15,19,24,18,15,16,22,21,19,23,16,21,22,17,24,24,17,24,31,23,26,27,19,20,27,37,31,37,30,30,22,34,24,29,27,26,30,37,34,33,35,40,37,39,39,39,37,33,37,50,38,42,52,38,47,48,47,44,40,47,44,59,42,39,48,50,32,48,46,42,55,58,53,50,51,62,59,54,30,0
2299,7,23,18,19,21,28,25,21,20,34,22,27,30,17,21,27,24,30,32,28,40,21,22,35,31,37,34,29,33,26,28,25,27,25,26,32,26,29,34,32,21,25,28,31,25,28,29,32,31,29,30,35,29,31,35,33,34,30,41,22,36,34,32,23,32,31,36,35,36,36,32,27,37,40,35,39,35,37,29,31,39,28,29,27,34,26,37,33,27,44,34,32,32,29,27,28,32,35,38,28,23,1
2300,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,3,1,1,5,7,3,3,4,7,5,6,9,11,5,8,5,14,14,10,10,14,16,19,16,14,14,24,14,28,25,29,23,31,34,30,34,36,35,34,32,28,36,35,41,42,46,56,55,39,51,47,43,52,52,60,61,49,47,58,53,68,60,63,62,60,55,66,58,68,56,63,81,71,75,75,78,72,79,66,91,45,0
2301,0,2,10,3,11,11,3,11,7,9,13,13,16,8,11,15,17,16,18,17,23,24,20,17,20,21,26,20,20,34,24,28,25,24,22,23,24,33,21,27,24,31,25,27,28,40,40,21,29,29,37,36,31,35,38,29,34,29,41,30,35,25,37,35,46,37,42,37,29,41,34,40,31,34,43,40,56,46,38,36,51,42,36,46,36,45,36,50,53,45,39,32,46,38,53,47,51,51,46,46,28,1
2302,0,0,0,0,0,0,0,1,1,1,3,0,2,3,4,1,3,2,10,10,4,2,4,7,7,8,11,8,9,11,15,9,10,12,11,18,20,15,14,20,14,29,20,17,23,25,21,35,19,23,23,26,32,33,40,30,34,36,35,41,36,21,35,38,43,39,61,47,45,56,47,43,45,47,45,54,69,45,47,65,55,66,67,56,57,53,52,67,51,61,61,72,46,58,65,61,65,67,75,69,36,0
2303,1,1,0,0,0,4,0,3,4,0,6,3,7,2,2,7,11,6,10,10,8,10,7,13,11,13,18,13,16,18,9,24,26,18,19,14,16,25,21,28,21,30,30,35,25,29,35,29,31,37,29,29,26,34,47,36,20,36,37,42,34,45,38,36,52,39,49,51,42,55,34,60,37,55,46,42,42,41,59,48,48,41,46,44,49,63,53,51,57,43,57,51,56,53,55,64,52,49,48,45,28,0
2304,0,0,1,0,1,3,0,1,2,7,3,4,1,4,4,8,2,6,3,7,5,7,7,7,6,13,10,14,16,8,10,5,16,8,17,15,10,19,14,18,22,22,22,28,17,19,21,27,20,28,31,19,30,38,26,28,29,30,42,44,37,36,33,44,41,48,45,31,43,49,49,60,48,46,43,46,46,52,47,48,60,55,59,57,57,48,79,50,62,48,54,69,78,59,66,69,65,73,75,70,30,1
2305,1,6,3,8,7,4,3,5,5,5,4,7,6,12,3,8,4,7,7,12,5,16,8,3,12,11,17,8,16,16,10,11,20,13,16,20,17,19,14,20,22,23,23,20,14,18,24,23,28,31,27,17,32,36,24,19,23,26,31,27,28,40,33,37,36,32,43,29,43,46,35,36,55,47,47,36,55,45,50,49,47,59,66,53,66,58,51,62,55,70,71,60,67,53,67,68,77,75,74,65,37,0
2306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,1,2,2,2,3,1,5,4,2,7,4,4,4,11,7,9,6,13,7,10,8,14,27,11,17,14,14,19,21,25,23,31,25,24,26,27,28,31,29,46,39,41,40,35,39,54,34,47,35,41,48,46,47,57,54,50,51,57,72,51,48,70,65,54,72,48,70,67,69,71,74,73,73,73,76,82,59,76,87,71,79,36,0
2307,7,18,13,14,13,20,24,15,16,26,17,26,25,22,21,23,29,29,28,19,20,22,28,28,34,22,23,26,28,25,22,29,25,28,24,28,24,30,33,34,29,40,31,29,18,43,30,26,34,28,35,33,26,27,34,28,33,24,28,27,38,36,39,33,35,33,42,33,34,41,30,41,44,32,25,27,46,27,31,40,34,35,36,41,38,29,37,40,32,35,37,38,37,40,31,36,46,45,37,31,17,1
2308,0,2,2,2,5,3,3,1,1,1,6,1,3,2,2,5,5,7,5,6,4,1,9,2,8,5,6,8,8,8,8,5,13,7,9,7,8,13,15,9,7,10,15,13,15,18,22,18,22,18,21,18,20,16,20,24,22,29,33,32,29,23,28,36,19,34,29,37,44,35,51,46,40,42,45,56,57,53,46,56,66,66,55,62,50,66,69,79,62,80,80,93,88,88,92,86,91,84,90,95,44,0
2309,0,3,3,0,3,5,0,1,2,7,7,3,1,4,5,1,5,9,11,6,5,9,8,6,8,9,11,5,7,9,7,9,8,12,12,13,7,8,13,14,13,14,11,24,17,15,13,18,12,16,21,18,25,17,32,28,32,35,28,24,32,33,36,25,24,37,37,49,44,44,33,54,43,43,38,44,61,50,63,57,53,54,62,58,73,55,60,75,60,65,79,77,65,60,82,81,75,114,94,95,47,0
2310,3,10,9,5,15,17,16,14,16,17,10,20,16,20,21,14,14,16,15,14,15,16,15,20,16,22,16,27,16,23,21,25,28,24,20,27,29,36,22,21,24,34,29,22,25,30,24,23,31,27,36,35,37,29,34,36,24,29,23,22,30,23,40,38,34,34,38,42,48,29,44,33,36,44,45,38,32,40,46,40,43,43,47,42,40,44,46,58,55,62,38,37,48,43,47,46,37,53,35,57,30,0
2311,5,6,7,8,8,12,10,9,10,13,8,13,19,13,11,14,12,18,15,15,9,13,16,14,22,22,22,17,19,26,19,25,26,8,16,27,17,27,23,33,19,27,30,27,31,21,26,31,25,26,25,41,40,34,32,41,29,31,31,33,34,28,34,29,31,42,37,42,43,35,43,26,41,44,38,32,52,40,51,51,49,50,44,42,40,41,53,43,45,58,41,63,54,48,55,42,55,53,55,49,20,0
2312,2,4,1,3,3,8,6,3,4,2,5,4,7,5,7,1,6,10,4,10,4,4,11,9,8,13,10,16,6,16,11,12,7,12,10,14,12,13,17,16,20,15,20,15,14,28,27,23,24,20,19,24,30,25,27,26,37,31,33,21,35,43,34,47,37,36,45,46,42,42,42,59,56,50,41,49,54,54,39,52,46,51,59,55,69,57,61,65,58,60,50,63,66,54,82,73,71,63,84,78,37,0
2313,1,5,8,11,11,6,9,6,3,8,14,5,7,10,13,18,9,7,11,15,6,18,14,11,15,11,10,10,13,13,21,17,16,23,12,18,16,24,21,20,19,29,22,16,24,17,24,22,27,27,38,21,22,34,25,23,44,28,34,35,26,32,41,34,33,44,36,31,35,40,53,34,35,43,47,47,50,37,50,60,45,50,52,41,48,50,59,41,70,61,59,57,68,67,67,58,60,43,59,88,32,0
2314,0,0,0,0,0,1,1,0,0,1,1,1,1,6,2,8,1,3,4,9,5,5,10,9,7,7,8,8,9,10,7,16,13,15,11,23,15,17,18,24,25,31,17,25,23,22,15,30,28,29,27,27,34,35,35,34,38,40,36,33,43,45,45,26,36,34,44,36,54,43,48,56,55,48,61,62,48,47,51,47,70,57,40,55,64,66,71,48,70,58,54,54,66,62,52,52,60,51,57,71,33,0
2315,1,2,3,6,4,9,9,5,8,15,9,10,8,17,9,9,14,15,16,14,16,16,21,15,22,16,20,24,21,17,30,18,27,22,30,19,27,32,26,29,29,28,38,37,28,35,30,30,36,36,40,43,28,41,42,32,44,37,41,34,41,40,39,45,42,39,41,39,47,34,37,44,31,43,39,34,43,37,49,37,40,41,44,46,49,45,49,40,37,30,47,35,42,38,35,57,44,49,36,38,17,0
2316,2,3,8,8,12,7,8,16,3,10,17,8,18,11,23,11,17,25,18,15,21,22,19,20,27,24,19,26,27,26,31,28,21,32,35,39,33,31,23,25,27,33,32,27,27,30,34,35,37,39,32,35,29,22,46,28,46,37,36,34,25,38,32,37,29,59,32,39,29,40,36,44,30,38,40,48,42,43,34,51,39,39,38,28,50,32,34,31,47,41,40,37,37,44,43,40,48,40,36,38,17,0
2317,1,0,4,6,6,8,2,8,8,11,7,5,5,11,10,12,13,21,16,16,11,19,21,15,14,28,17,20,25,17,26,17,23,19,28,23,31,29,28,20,26,38,32,32,28,35,24,26,22,37,39,26,32,35,35,32,39,31,33,27,49,43,39,47,29,38,40,46,37,41,50,48,42,52,44,42,41,44,54,43,39,52,42,64,39,47,51,55,38,51,42,41,37,40,47,29,39,42,50,36,20,0
2318,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1,2,2,3,4,2,5,4,6,3,4,10,7,4,10,4,9,12,12,7,10,11,16,14,14,20,18,17,19,20,22,27,20,18,23,30,25,29,26,32,28,26,39,47,37,39,35,35,31,38,39,43,48,52,43,38,52,42,42,49,63,51,55,58,53,73,67,57,72,49,56,54,63,50,70,77,48,69,65,68,66,55,80,77,61,76,38,0
2319,4,10,9,6,4,7,11,10,8,13,14,20,18,14,19,21,7,14,20,30,26,27,25,22,26,22,21,20,23,32,20,19,27,35,32,30,28,30,21,21,28,37,40,25,29,30,39,29,26,33,35,27,30,34,37,36,32,44,28,35,38,43,35,30,44,39,46,32,37,28,35,32,43,34,42,41,53,35,30,28,35,51,48,47,35,36,37,37,37,51,42,38,41,40,33,49,31,42,51,37,17,0
2320,2,3,3,5,1,2,6,7,6,10,9,10,4,7,7,9,10,9,4,10,9,8,4,6,5,6,13,10,12,10,22,14,19,17,13,15,14,15,16,19,16,12,12,26,18,23,18,30,24,30,17,19,24,31,37,29,36,34,34,35,28,30,37,41,36,35,29,43,35,42,38,43,40,50,52,50,45,53,39,56,46,47,50,67,57,53,51,51,65,77,69,63,69,59,71,60,63,86,94,65,39,0
2321,7,9,10,8,8,10,12,11,12,12,10,10,17,11,12,8,8,10,10,16,14,18,17,20,8,14,14,15,12,11,18,20,14,15,22,24,20,21,24,19,29,20,28,24,20,24,29,18,29,26,33,32,23,21,31,25,30,35,25,39,31,35,36,47,40,42,41,32,35,45,36,39,43,44,44,44,38,38,40,48,43,50,38,48,48,62,60,51,62,47,59,62,44,50,52,64,67,59,51,61,32,0
2322,4,14,11,11,11,9,14,13,10,19,9,19,17,18,11,12,18,15,16,23,17,16,26,14,25,17,24,15,12,17,27,22,19,17,20,20,24,26,22,26,23,34,23,22,27,25,28,31,28,23,22,24,28,31,32,29,43,34,40,30,31,27,36,38,35,49,43,41,46,39,40,46,47,40,36,51,40,31,32,43,42,35,42,54,41,44,46,49,40,36,46,44,44,48,51,57,56,56,51,47,23,0
2323,6,17,19,17,24,23,25,24,20,16,20,20,16,25,26,23,24,30,26,26,25,18,21,26,23,28,10,24,38,30,27,38,21,17,29,36,38,20,20,29,25,21,28,23,18,33,38,21,32,29,27,41,32,35,40,37,32,25,25,35,24,33,31,35,26,43,29,33,28,33,37,35,34,37,34,34,23,27,27,29,32,35,34,38,41,44,46,30,50,49,37,33,50,36,47,33,48,50,34,37,22,0
2324,0,0,0,0,0,0,1,2,0,0,1,3,0,2,4,4,1,5,6,8,2,6,10,4,9,12,6,8,9,10,5,5,12,9,12,15,22,18,24,13,16,24,23,23,30,19,27,35,35,28,25,26,28,34,28,31,39,36,33,39,35,40,34,30,44,40,52,40,46,50,53,37,41,50,51,47,52,58,54,67,56,68,49,54,46,53,68,61,62,65,57,66,74,56,64,54,66,69,78,54,32,0
2325,3,16,21,16,18,8,17,11,16,15,23,9,18,22,18,19,19,14,22,14,22,22,20,13,23,17,23,28,19,23,23,29,21,31,24,23,27,30,25,23,28,29,27,27,34,25,41,30,19,31,23,38,42,29,29,36,38,41,36,34,37,34,31,34,31,41,37,17,44,28,26,33,30,35,35,32,40,33,47,48,52,37,42,52,41,28,43,47,45,42,51,38,52,47,42,38,45,40,36,43,24,0
2326,0,1,0,3,2,1,4,1,1,5,0,8,5,4,8,6,7,7,5,9,9,12,10,15,7,19,18,14,17,14,15,24,19,19,26,18,18,25,19,32,23,27,28,26,26,33,35,35,31,30,34,36,33,32,36,26,39,40,48,38,31,52,41,32,45,47,47,44,46,49,40,44,45,49,43,46,33,44,45,47,54,49,50,48,63,44,47,49,58,55,47,47,63,50,38,50,45,55,63,48,24,0
2327,0,0,0,0,2,1,3,4,4,1,1,3,5,4,0,8,8,3,5,6,1,6,9,11,11,10,8,12,7,13,6,22,14,18,19,9,18,24,21,23,15,24,28,25,17,30,28,36,27,36,22,25,31,32,35,26,40,34,40,39,36,36,46,47,33,30,44,34,50,49,44,41,54,57,46,46,39,44,59,49,63,51,56,48,62,51,68,52,52,53,56,65,58,63,60,66,60,58,77,58,29,0
2328,0,2,1,4,1,4,1,5,8,0,9,5,6,7,9,7,10,12,9,9,11,14,9,22,16,20,24,14,20,17,13,23,20,24,15,18,30,23,25,20,23,20,27,31,26,17,26,44,32,34,29,32,41,32,38,29,39,34,36,37,22,30,43,41,36,58,50,34,31,39,44,51,44,49,45,39,39,58,48,54,37,46,42,45,46,41,55,61,53,47,42,34,44,58,57,58,69,52,48,60,36,0
2329,0,0,1,1,3,0,1,5,2,2,3,1,7,6,6,6,11,14,8,13,16,11,11,13,16,12,15,21,15,26,29,20,20,20,24,25,22,29,19,27,21,34,35,31,24,37,21,42,35,27,32,28,39,31,42,42,42,37,37,40,34,41,35,43,48,37,45,43,41,47,52,59,40,52,39,44,33,44,44,38,45,46,52,46,50,61,46,53,45,44,49,54,42,55,56,49,38,35,53,40,24,0
2330,9,12,12,16,17,12,14,18,19,16,20,16,25,25,23,18,21,20,20,19,22,25,18,24,15,25,20,17,20,21,17,23,26,19,20,22,24,30,23,31,22,25,22,25,21,32,32,26,35,28,37,29,26,39,23,41,31,27,40,24,35,17,34,31,33,25,31,36,36,33,34,33,26,43,31,27,43,44,41,48,36,29,48,58,38,53,47,45,50,37,39,42,52,45,57,45,51,50,52,42,24,0
2331,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,1,2,2,1,2,1,4,2,5,10,4,6,9,8,10,8,10,16,15,11,14,23,18,7,14,17,22,21,19,18,34,26,19,21,32,39,27,24,27,39,38,38,49,31,57,41,35,58,61,46,46,57,59,55,63,61,45,50,55,58,44,56,59,63,59,61,65,57,47,59,62,58,60,60,78,74,62,57,67,75,71,73,37,0
2332,0,1,0,2,0,0,2,2,0,4,5,3,6,2,2,5,5,7,7,8,14,11,7,10,7,8,10,22,14,18,12,14,21,19,16,22,21,26,21,30,28,22,40,30,18,36,24,29,36,38,38,38,26,45,31,40,38,36,36,24,39,48,40,40,43,47,41,39,43,44,47,52,44,48,55,39,39,32,43,54,49,49,65,53,47,57,39,61,53,43,56,51,58,48,58,51,54,62,43,50,39,0
2333,0,3,0,3,5,3,3,9,9,6,9,9,5,10,10,4,15,14,14,17,12,12,15,12,21,10,15,19,19,12,11,20,22,28,25,22,14,18,21,24,26,36,26,32,27,26,31,23,39,28,35,26,28,25,36,28,32,46,31,37,41,39,41,30,37,38,43,38,45,39,38,50,52,39,42,47,42,50,48,50,42,40,48,47,46,53,54,61,54,47,54,58,35,49,51,52,53,50,55,59,25,1
2334,7,13,9,13,14,19,11,17,17,10,10,21,7,15,22,10,14,19,21,22,16,15,24,12,26,18,26,24,21,23,22,30,31,35,29,17,27,28,19,35,34,25,36,21,26,34,33,29,32,28,24,32,30,25,22,31,28,30,33,33,17,42,28,39,40,28,36,28,29,28,44,40,41,29,37,31,32,46,49,52,53,39,40,49,47,45,55,43,35,44,38,51,33,50,45,47,46,50,60,35,24,0
2335,0,1,2,0,1,1,2,4,3,3,3,1,4,1,1,4,6,3,6,0,3,6,4,5,9,7,5,5,8,12,7,12,9,6,9,8,9,10,13,6,7,17,5,23,14,16,20,15,13,18,25,22,21,20,15,32,37,23,22,21,28,27,34,33,35,25,40,52,35,41,46,43,37,42,49,53,45,54,62,60,60,75,55,56,53,61,76,82,67,83,85,69,80,91,83,96,84,79,96,87,56,0
2336,4,15,15,8,11,10,14,10,17,9,13,17,15,19,12,16,15,17,10,19,19,17,17,14,26,20,18,18,18,26,21,17,15,27,21,23,24,20,36,30,33,34,26,25,35,28,25,32,36,30,30,24,26,30,46,29,27,28,33,28,38,34,24,31,26,40,40,40,38,54,42,35,31,41,35,31,37,32,47,40,51,60,40,39,50,52,46,38,52,41,55,43,46,45,40,42,56,46,51,46,27,0
2337,0,2,0,2,0,4,2,7,2,5,3,7,9,12,12,5,6,11,8,9,13,12,16,8,12,15,23,17,15,24,26,15,29,22,14,23,26,34,25,28,19,25,35,24,30,22,22,32,32,38,34,38,42,31,37,42,36,35,45,50,33,45,34,39,32,35,41,38,37,46,54,39,46,46,42,50,40,57,47,54,41,48,47,46,57,46,54,44,42,44,49,51,42,42,47,50,40,59,49,47,28,0
2338,2,8,6,5,7,8,9,8,9,7,13,10,11,13,15,14,10,14,13,13,20,10,14,12,13,16,10,11,14,16,18,21,19,19,21,17,25,24,32,19,25,30,30,25,30,24,28,25,25,31,30,25,39,38,29,25,27,24,34,34,40,40,36,38,37,30,38,34,55,43,48,45,41,41,52,53,43,51,49,51,48,44,47,48,54,52,43,49,36,43,41,59,45,38,54,67,58,51,50,49,35,0
2339,3,3,5,5,9,8,6,11,10,12,12,14,14,15,12,19,12,22,21,16,16,24,29,23,18,27,29,21,23,25,22,14,25,30,31,41,30,29,28,29,34,41,32,26,30,36,18,29,27,36,22,28,33,31,40,36,42,43,39,45,39,36,39,46,24,34,44,27,42,34,41,40,40,41,33,41,36,33,51,46,35,49,46,46,27,37,44,37,40,41,46,40,38,38,40,41,49,33,33,39,23,0
2340,0,0,0,0,0,0,2,0,1,0,0,1,0,0,1,1,0,2,2,2,5,3,3,3,3,8,4,7,6,17,8,12,8,6,11,7,14,10,11,8,14,26,15,24,17,25,23,29,20,26,26,36,22,23,31,40,40,29,30,42,40,45,41,32,37,39,50,46,46,43,45,59,41,38,52,49,61,50,54,57,54,56,59,54,66,67,67,72,69,68,71,72,71,72,84,66,68,72,69,65,29,0
2341,0,2,2,0,1,0,0,2,0,1,0,6,3,6,1,5,4,4,9,10,6,11,7,11,13,13,14,18,15,20,12,15,23,12,15,16,23,18,19,18,17,26,24,45,25,35,26,33,34,33,30,28,37,54,27,29,40,24,42,43,40,31,41,42,50,29,58,48,32,42,49,49,57,42,45,48,32,43,48,42,62,58,38,53,42,48,45,63,64,43,38,52,53,66,71,54,58,51,67,72,27,0
2342,1,4,3,9,8,12,12,12,10,7,12,12,11,15,12,18,16,27,18,18,17,22,22,27,15,21,30,31,22,31,18,19,21,29,24,34,22,18,30,27,37,24,25,31,36,35,31,32,33,19,26,34,25,33,29,36,36,38,33,31,37,33,34,37,41,37,39,33,40,38,40,32,40,43,47,40,34,59,38,46,39,34,44,30,48,35,51,42,47,36,49,31,56,36,39,45,55,41,57,40,16,1
2343,0,0,0,1,2,0,2,1,1,3,0,5,6,5,4,4,5,9,6,5,8,9,10,8,12,16,9,6,10,18,14,17,10,18,14,14,15,22,19,14,16,21,26,26,18,14,28,22,26,36,25,31,23,28,30,35,25,33,42,24,38,44,38,42,40,48,47,52,48,43,36,49,47,48,52,57,56,61,43,43,40,52,54,60,53,55,50,46,42,66,68,68,70,70,68,59,63,73,65,61,34,1
2344,0,2,1,0,1,3,1,0,6,2,7,2,4,5,2,5,6,6,5,5,12,12,9,9,7,11,16,11,15,22,18,18,25,25,22,20,26,19,25,26,22,27,25,31,28,26,28,26,34,30,39,35,34,35,45,36,24,37,50,37,45,45,46,57,56,42,36,52,38,60,44,41,41,55,52,43,41,50,39,53,49,38,60,63,40,39,53,53,44,48,42,52,49,49,50,61,50,55,44,46,19,0
2345,0,0,0,2,1,3,3,1,5,1,3,1,4,7,6,9,10,6,7,11,6,13,11,11,12,11,12,13,11,17,18,15,12,13,17,19,25,26,15,20,23,29,26,29,31,25,25,28,25,32,28,33,27,29,39,42,26,39,37,28,37,37,38,31,36,41,34,35,40,53,46,48,38,38,57,53,47,51,50,42,38,53,49,53,44,52,54,58,51,72,54,61,54,63,65,69,64,68,67,58,23,1
2346,12,18,24,27,20,16,33,15,24,15,21,28,30,21,24,19,15,21,20,25,24,18,27,16,22,21,21,17,26,27,19,34,19,23,18,17,21,20,29,27,36,25,30,26,23,24,31,29,30,31,31,21,26,31,34,30,26,33,34,34,20,33,32,28,35,43,32,39,31,24,20,37,43,35,41,31,37,37,40,42,38,35,32,37,33,40,40,41,35,38,46,52,37,55,47,43,55,44,40,53,20,0
2347,2,2,3,7,8,10,9,8,6,6,7,4,6,4,5,17,9,12,14,12,12,9,9,8,12,12,13,11,11,14,19,17,17,15,18,16,10,9,19,20,18,16,18,30,14,22,20,24,25,22,30,29,27,31,30,26,37,42,30,31,36,37,32,39,34,36,40,45,45,36,38,41,41,41,40,38,55,59,52,48,43,48,47,66,40,64,56,52,67,76,56,63,79,59,62,73,58,65,56,66,27,0
2348,12,18,27,15,13,17,21,19,20,22,21,28,25,15,18,23,22,18,10,26,16,19,21,17,15,32,26,20,23,14,23,21,26,25,27,34,26,27,31,20,32,22,24,27,25,30,22,27,33,37,33,31,35,27,38,22,32,24,32,32,41,28,32,32,29,32,28,33,30,35,43,36,37,30,40,63,42,31,32,36,43,38,40,31,37,45,45,30,35,40,35,36,50,47,56,34,42,37,54,55,22,0
2349,3,3,8,7,11,6,10,13,9,16,12,13,9,6,11,18,18,11,14,10,19,14,12,7,17,19,14,15,11,16,24,23,16,14,23,21,22,22,18,20,20,31,23,21,28,20,33,36,26,32,33,36,31,29,26,25,31,31,40,43,33,39,41,29,30,31,44,36,49,54,37,31,48,37,41,39,44,61,57,58,37,39,55,42,53,57,54,52,34,60,54,59,40,49,44,42,49,47,60,56,28,0
2350,0,0,0,1,1,0,0,1,1,3,2,9,3,5,4,3,7,4,5,6,9,7,10,9,12,7,20,4,15,11,11,14,25,10,16,17,13,20,17,23,19,22,21,29,15,30,32,24,22,38,39,26,18,29,37,21,29,31,33,32,32,34,42,31,36,51,30,40,45,48,36,45,51,49,42,44,49,54,49,52,54,66,61,51,60,61,53,65,49,63,61,70,60,56,80,73,67,51,61,64,42,1
